City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Gulbene,0,LV,2019-07-07 03:33:11,95,57.18,26.75,46.34,0.69
Strezhevoy,99,RU,2019-07-07 03:33:12,93,60.73,77.6,58.98,2.0
Hay River,75,CA,2019-07-07 03:33:12,93,60.82,-115.79,58.98,3.6
Tizimin,17,MX,2019-07-07 03:33:12,83,21.14,-88.15,77.41,2.25
Isangel,75,VU,2019-07-07 03:33:13,78,-19.55,169.27,80.58,5.1
Bosaso,55,SO,2019-07-07 03:33:13,58,11.28,49.18,90.29,6.45
Torbay,90,CA,2019-07-07 03:33:14,72,47.66,-52.73,64.38,6.7
Buala,100,SB,2019-07-07 03:33:15,76,-8.15,159.59,84.12,6.86
Rikitea,100,PF,2019-07-07 03:33:15,86,-23.12,-134.97,68.05,10.95
Vaini,75,IN,2019-07-07 03:33:15,94,15.34,74.49,73.38,6.2
Saint-Georges,0,CA,2019-07-07 03:33:16,71,46.12,-70.67,61.99,3.45
Nanakuli,40,US,2019-07-07 03:33:16,65,21.39,-158.15,87.78,6.2
Castro,0,CL,2019-07-07 03:33:16,93,-42.48,-73.76,40.98,3.1
Ushuaia,40,AR,2019-07-07 03:33:17,86,-54.81,-68.31,37.38,9.8
Severo-Kurilsk,20,RU,2019-07-07 03:33:17,92,50.68,156.12,45.11,4.49
Saint George,0,GR,2019-07-07 03:32:31,77,39.45,22.34,77.99,0.42
Kaeo,89,NZ,2019-07-07 03:33:18,70,-35.1,173.78,55.97,0.45
Hermanus,100,ZA,2019-07-07 03:33:18,91,-34.42,19.24,56.98,4.02
Hithadhoo,100,MV,2019-07-07 03:33:19,69,-0.6,73.08,83.96,3.2
Kavieng,92,PG,2019-07-07 03:33:19,71,-2.57,150.8,83.38,4.35
Redcar,100,GB,2019-07-07 03:33:19,87,54.62,-1.06,51.98,1.0
Boende,74,CD,2019-07-07 03:33:20,91,-0.28,20.88,71.92,0.74
Miri,100,NG,2019-07-07 03:33:20,79,10.31,9.75,73.75,1.87
Nikolskoye,40,RU,2019-07-07 03:33:20,87,59.7,30.79,52.99,2.0
Chernyshevskiy,93,RU,2019-07-07 03:33:21,62,63.01,112.47,73.48,4.14
Yellowknife,90,CA,2019-07-07 03:33:21,87,62.45,-114.38,58.98,4.1
Jamestown,78,AU,2019-07-07 03:33:21,77,-33.21,138.6,57.8,3.38
Ponta do Sol,0,BR,2019-07-07 03:33:22,73,-20.63,-46.0,44.61,0.6
San Jeronimo,62,PE,2019-07-07 03:33:22,93,-13.65,-73.37,48.23,1.6
Tasiilaq,0,GL,2019-07-07 03:33:22,66,65.61,-37.64,31.98,3.6
Lima,90,PE,2019-07-07 03:29:21,88,-12.06,-77.04,62.58,6.2
Okato,94,NZ,2019-07-07 03:33:23,93,-39.19,173.88,55.97,6.26
Arraial do Cabo,1,BR,2019-07-07 03:33:24,75,-22.97,-42.02,64.84,8.67
Kapaa,1,US,2019-07-07 03:31:17,70,22.08,-159.32,84.18,4.6
New Norfolk,75,AU,2019-07-07 03:33:24,66,-42.78,147.06,59.99,4.6
